ID,Independent Variable 1,Independent Variable 2,Independent Variable 3,Independent Variable 4,Independent Variable 5,Independent Variable 6,Independent Variable 7,ROOT_CAUSE
126,1,0,1,1,0,1,0,NETWORK_DELAY
127,0,1,0,0,0,0,0,MEMORY_LEAK
128,0,0,1,1,1,1,1,DATABASE_ISSUE
129,1,0,0,1,0,0,1,NETWORK_DELAY
130,1,1,0,1,1,1,0,DATABASE_ISSUE
131,1,1,0,0,1,1,1,DATABASE_ISSUE
132,0,0,0,1,1,0,1,DATABASE_ISSUE
133,1,0,0,0,1,1,0,NETWORK_DELAY
134,0,1,1,0,0,1,1,NETWORK_DELAY
135,0,0,0,0,0,1,1,MEMORY_LEAK
136,1,0,1,1,0,1,1,DATABASE_ISSUE
137,1,1,0,0,0,0,0,MEMORY_LEAK
138,0,0,0,1,1,0,1,DATABASE_ISSUE
139,1,1,0,1,0,0,1,NETWORK_DELAY
140,1,0,1,1,1,0,0,DATABASE_ISSUE
141,0,1,1,1,0,1,1,DATABASE_ISSUE
142,1,0,0,1,1,1,1,DATABASE_ISSUE
143,0,1,0,0,0,1,1,NETWORK_DELAY
144,1,0,1,1,0,1,1,DATABASE_ISSUE
145,1,1,1,1,1,0,0,DATABASE_ISSUE
146,1,1,1,0,1,0,0,DATABASE_ISSUE
147,0,0,0,1,0,0,0,MEMORY_LEAK
148,1,1,1,1,0,1,0,DATABASE_ISSUE
149,1,0,1,1,0,0,1,NETWORK_DELAY
150,0,1,1,0,1,0,0,DATABASE_ISSUE
151,0,0,0,1,1,0,1,DATABASE_ISSUE
152,0,1,1,1,0,0,0,NETWORK_DELAY
153,0,0,0,1,0,0,1,NETWORK_DELAY
154,1,0,1,0,1,1,0,NETWORK_DELAY
155,0,1,1,1,1,0,1,DATABASE_ISSUE
156,0,0,1,1,0,0,1,NETWORK_DELAY
157,1,1,1,1,1,0,1,DATABASE_ISSUE
158,1,1,0,0,0,1,0,MEMORY_LEAK
159,1,0,1,0,1,1,0,NETWORK_DELAY
160,0,1,1,1,1,0,1,DATABASE_ISSUE
161,1,0,1,1,0,1,1,DATABASE_ISSUE
162,1,1,0,0,1,0,0,NETWORK_DELAY
163,1,1,0,0,1,1,0,NETWORK_DELAY
164,0,0,1,1,0,0,1,NETWORK_DELAY
165,0,0,0,0,0,0,1,MEMORY_LEAK
166,1,0,1,0,0,1,0,MEMORY_LEAK
167,1,0,1,0,0,0,1,NETWORK_DELAY
168,1,0,1,0,0,1,0,MEMORY_LEAK
169,1,1,0,1,0,1,1,DATABASE_ISSUE
170,0,0,1,0,1,0,0,NETWORK_DELAY
171,1,1,1,0,1,1,0,DATABASE_ISSUE
172,1,1,0,0,1,0,0,NETWORK_DELAY
173,1,1,0,0,0,0,0,MEMORY_LEAK
174,1,1,0,0,0,1,0,MEMORY_LEAK
175,0,0,0,1,1,0,1,DATABASE_ISSUE
176,0,1,1,1,1,0,0,DATABASE_ISSUE
177,0,1,0,1,1,1,0,DATABASE_ISSUE
178,1,1,0,1,0,1,0,NETWORK_DELAY
179,0,1,1,0,0,0,0,NETWORK_DELAY
180,0,0,1,1,1,0,0,DATABASE_ISSUE
181,0,1,0,1,0,1,1,NETWORK_DELAY
182,1,0,1,1,1,0,1,DATABASE_ISSUE
183,0,1,0,1,1,0,0,DATABASE_ISSUE
184,0,1,1,0,1,1,1,DATABASE_ISSUE
185,1,0,0,1,1,0,1,DATABASE_ISSUE
186,1,0,1,1,1,0,1,DATABASE_ISSUE
187,1,1,1,0,1,0,1,DATABASE_ISSUE
188,1,0,0,1,0,1,0,NETWORK_DELAY
189,1,0,1,0,0,1,1,NETWORK_DELAY
190,1,0,0,0,0,0,0,MEMORY_LEAK
191,1,1,0,1,0,0,1,NETWORK_DELAY
192,1,0,0,0,1,1,1,NETWORK_DELAY
193,1,1,0,0,0,0,0,MEMORY_LEAK
194,0,1,0,1,0,0,0,NETWORK_DELAY
195,1,0,1,1,1,1,1,DATABASE_ISSUE
196,0,1,0,0,1,0,0,NETWORK_DELAY
197,0,0,1,1,1,1,0,DATABASE_ISSUE
198,1,0,0,1,1,1,1,DATABASE_ISSUE
199,1,0,0,1,0,1,1,NETWORK_DELAY
200,1,1,0,1,0,1,0,NETWORK_DELAY
201,0,0,0,0,1,1,1,NETWORK_DELAY
202,1,1,0,1,1,0,1,DATABASE_ISSUE
203,0,0,1,0,1,0,1,DATABASE_ISSUE
204,0,1,1,1,1,0,1,DATABASE_ISSUE
205,1,1,1,1,1,0,0,DATABASE_ISSUE
206,0,0,0,1,0,0,1,NETWORK_DELAY
207,0,1,0,0,0,1,0,MEMORY_LEAK
208,0,1,0,0,0,0,1,MEMORY_LEAK
209,0,0,0,0,0,0,0,MEMORY_LEAK
210,1,1,0,1,0,0,0,NETWORK_DELAY
211,1,1,1,1,0,0,0,DATABASE_ISSUE
212,1,0,1,0,1,0,1,DATABASE_ISSUE
213,1,0,1,1,0,1,0,NETWORK_DELAY
214,0,1,1,1,0,0,0,NETWORK_DELAY
215,1,0,1,0,0,0,1,NETWORK_DELAY
216,1,0,1,1,0,1,1,DATABASE_ISSUE
217,0,0,1,1,0,1,0,NETWORK_DELAY
218,0,1,0,1,1,1,0,DATABASE_ISSUE
219,0,0,1,0,0,0,1,NETWORK_DELAY
220,1,1,1,1,0,1,0,DATABASE_ISSUE
221,1,1,0,1,1,1,1,DATABASE_ISSUE
222,0,0,0,0,0,1,1,MEMORY_LEAK
223,0,1,1,0,0,1,1,NETWORK_DELAY
224,0,1,1,1,0,0,0,NETWORK_DELAY
225,1,0,1,1,0,1,1,DATABASE_ISSUE
226,0,1,0,1,0,1,0,NETWORK_DELAY
227,1,0,1,0,1,0,0,NETWORK_DELAY
228,0,0,0,0,1,1,0,NETWORK_DELAY
229,1,1,0,1,0,0,1,NETWORK_DELAY
230,0,1,1,0,1,1,0,DATABASE_ISSUE
231,1,0,0,1,0,0,1,NETWORK_DELAY
232,1,1,0,0,0,1,1,NETWORK_DELAY
233,1,1,1,0,0,0,0,NETWORK_DELAY
234,0,1,1,0,1,0,0,DATABASE_ISSUE
235,1,1,1,1,1,1,0,DATABASE_ISSUE
236,0,1,1,1,0,1,1,DATABASE_ISSUE
237,1,1,1,0,0,0,0,NETWORK_DELAY
238,1,0,0,1,1,1,0,DATABASE_ISSUE
239,1,0,1,0,0,1,0,MEMORY_LEAK
240,0,0,0,1,0,0,1,NETWORK_DELAY
241,0,0,0,0,0,1,0,MEMORY_LEAK
242,1,1,1,0,1,0,0,DATABASE_ISSUE
243,0,0,1,1,1,0,0,DATABASE_ISSUE
244,1,1,1,0,0,1,0,NETWORK_DELAY
245,1,0,1,1,1,1,0,DATABASE_ISSUE
246,1,0,0,1,0,1,1,NETWORK_DELAY
247,1,1,0,0,1,0,0,NETWORK_DELAY
248,0,1,0,0,1,1,0,NETWORK_DELAY
249,0,0,0,0,0,1,0,MEMORY_LEAK
250,0,1,0,0,1,0,1,NETWORK_DELAY
251,1,0,1,0,0,0,0,MEMORY_LEAK
252,1,0,1,1,0,1,1,DATABASE_ISSUE
253,1,0,1,1,0,0,0,NETWORK_DELAY
254,1,1,0,0,1,1,1,DATABASE_ISSUE
255,1,0,0,1,0,0,1,NETWORK_DELAY
256,1,0,1,1,0,1,0,NETWORK_DELAY
257,0,1,0,1,0,0,0,NETWORK_DELAY
258,1,0,1,1,1,1,1,DATABASE_ISSUE
259,1,0,0,1,0,0,0,MEMORY_LEAK
260,1,0,0,1,1,1,1,DATABASE_ISSUE
261,0,1,0,1,1,1,0,DATABASE_ISSUE
262,1,0,0,0,1,1,1,NETWORK_DELAY
263,1,0,1,0,0,1,1,NETWORK_DELAY
264,1,0,0,1,0,1,1,NETWORK_DELAY
265,1,1,0,1,1,0,1,DATABASE_ISSUE
266,1,0,1,1,1,1,0,DATABASE_ISSUE
267,0,0,0,1,1,0,1,DATABASE_ISSUE
268,0,1,0,1,0,0,1,NETWORK_DELAY
269,1,1,1,1,1,0,0,DATABASE_ISSUE
270,1,1,1,0,1,0,0,DATABASE_ISSUE
271,1,1,1,1,1,0,0,DATABASE_ISSUE
272,1,1,0,1,1,0,1,DATABASE_ISSUE
273,0,1,1,0,1,1,1,DATABASE_ISSUE
274,1,0,0,0,1,1,1,NETWORK_DELAY
275,0,0,1,0,0,0,1,NETWORK_DELAY
276,0,0,1,0,0,0,1,NETWORK_DELAY
277,0,0,1,0,1,1,1,DATABASE_ISSUE
278,1,0,0,0,0,0,0,MEMORY_LEAK
279,0,1,1,0,1,0,0,DATABASE_ISSUE
280,0,0,1,0,1,0,1,DATABASE_ISSUE
281,1,0,0,1,0,1,1,NETWORK_DELAY
282,0,0,0,1,1,1,1,DATABASE_ISSUE
283,0,1,1,1,0,0,1,DATABASE_ISSUE
284,0,0,1,0,0,0,0,MEMORY_LEAK
285,1,0,0,1,1,1,1,DATABASE_ISSUE
286,0,0,0,1,0,1,0,NETWORK_DELAY
287,1,0,1,1,1,0,1,DATABASE_ISSUE
288,1,1,0,1,1,0,1,DATABASE_ISSUE
289,1,1,1,0,0,1,0,NETWORK_DELAY
290,0,0,1,1,0,1,0,NETWORK_DELAY
291,0,0,0,1,0,0,0,MEMORY_LEAK
292,1,1,0,0,1,0,1,DATABASE_ISSUE
293,1,0,1,1,1,0,1,DATABASE_ISSUE
294,0,0,0,1,0,0,0,MEMORY_LEAK
295,0,0,0,1,0,1,1,NETWORK_DELAY
296,1,1,0,0,0,0,1,NETWORK_DELAY
297,1,1,0,0,0,0,0,MEMORY_LEAK
298,0,0,1,0,0,0,0,MEMORY_LEAK
299,1,0,0,1,0,1,1,NETWORK_DELAY
300,1,0,0,0,1,0,0,NETWORK_DELAY
301,1,1,0,0,1,0,0,NETWORK_DELAY
302,1,0,1,0,1,0,1,DATABASE_ISSUE
303,0,0,1,1,1,1,1,DATABASE_ISSUE
304,1,0,1,1,0,0,1,NETWORK_DELAY
305,0,1,0,0,1,1,1,DATABASE_ISSUE
306,0,1,0,1,1,1,1,DATABASE_ISSUE
307,0,1,1,0,1,1,0,DATABASE_ISSUE
308,1,1,0,0,1,1,1,DATABASE_ISSUE
309,0,0,0,1,0,1,1,NETWORK_DELAY
310,1,0,0,0,1,1,1,NETWORK_DELAY
311,0,1,1,0,1,1,1,DATABASE_ISSUE
312,1,1,1,0,0,0,0,NETWORK_DELAY
313,1,0,1,0,1,1,1,DATABASE_ISSUE
314,1,1,0,1,1,0,1,DATABASE_ISSUE
315,0,1,1,0,0,0,1,NETWORK_DELAY
316,1,0,0,0,0,1,0,MEMORY_LEAK
317,1,1,1,0,1,0,1,DATABASE_ISSUE
318,1,1,0,0,1,1,0,NETWORK_DELAY
319,1,1,1,0,1,0,0,DATABASE_ISSUE
320,1,1,1,0,0,1,0,NETWORK_DELAY
321,0,1,1,0,0,0,0,NETWORK_DELAY
322,0,1,1,1,1,1,0,DATABASE_ISSUE
323,1,1,1,0,1,1,1,DATABASE_ISSUE
324,0,1,0,0,0,0,1,MEMORY_LEAK
325,1,0,1,1,0,0,0,NETWORK_DELAY
326,0,1,0,1,1,1,1,DATABASE_ISSUE
327,1,1,1,1,0,0,1,DATABASE_ISSUE
328,0,0,1,1,1,1,1,DATABASE_ISSUE
329,1,0,0,1,0,0,0,MEMORY_LEAK
330,1,0,0,1,0,1,0,NETWORK_DELAY
331,0,1,0,1,1,1,1,DATABASE_ISSUE
332,0,1,1,0,0,0,1,NETWORK_DELAY
333,1,1,1,0,0,0,0,NETWORK_DELAY
334,0,0,0,0,0,1,0,MEMORY_LEAK
335,1,1,0,0,1,1,0,NETWORK_DELAY
336,0,1,0,1,0,0,0,NETWORK_DELAY
337,1,0,0,1,0,1,1,NETWORK_DELAY
338,0,1,1,0,0,1,0,NETWORK_DELAY
339,0,0,1,1,0,1,0,NETWORK_DELAY
340,0,0,0,1,1,1,1,DATABASE_ISSUE
341,0,0,1,0,1,0,0,NETWORK_DELAY
342,1,0,0,0,0,1,0,MEMORY_LEAK
343,1,1,1,0,1,1,1,DATABASE_ISSUE
344,0,0,0,1,1,1,1,DATABASE_ISSUE
345,1,1,1,0,1,0,1,DATABASE_ISSUE
346,1,0,1,1,0,1,1,DATABASE_ISSUE
347,0,0,1,0,1,1,1,DATABASE_ISSUE
348,0,1,0,1,0,0,1,NETWORK_DELAY
349,0,1,0,1,0,0,1,NETWORK_DELAY
350,1,0,1,0,0,0,0,MEMORY_LEAK
351,1,0,0,0,1,1,0,NETWORK_DELAY
352,1,1,1,1,1,1,0,DATABASE_ISSUE
353,0,1,0,0,0,1,1,NETWORK_DELAY
354,1,1,0,1,0,1,0,NETWORK_DELAY
355,1,0,1,0,1,1,1,DATABASE_ISSUE
356,1,1,0,0,1,0,0,NETWORK_DELAY
357,1,1,0,1,0,0,0,NETWORK_DELAY
358,0,1,1,1,0,1,0,DATABASE_ISSUE
359,1,0,0,1,0,0,0,MEMORY_LEAK
360,1,0,1,1,1,1,1,DATABASE_ISSUE
361,1,1,0,1,0,1,1,DATABASE_ISSUE
362,1,0,0,0,0,1,0,MEMORY_LEAK
363,1,0,1,0,0,1,1,NETWORK_DELAY
364,0,1,1,1,1,0,0,DATABASE_ISSUE
365,1,1,0,1,1,1,1,DATABASE_ISSUE
366,1,1,1,0,0,0,0,NETWORK_DELAY
367,0,1,1,1,1,1,1,DATABASE_ISSUE
368,0,1,0,1,0,0,0,NETWORK_DELAY
369,0,1,0,1,0,0,1,NETWORK_DELAY
370,1,1,1,1,0,0,0,DATABASE_ISSUE
371,1,0,1,1,0,1,0,NETWORK_DELAY
372,1,0,0,1,1,1,1,DATABASE_ISSUE
373,0,1,0,0,0,0,1,MEMORY_LEAK
374,0,0,0,1,1,1,1,DATABASE_ISSUE
375,1,1,1,0,1,0,0,DATABASE_ISSUE
376,0,0,1,1,1,0,0,DATABASE_ISSUE
377,0,1,0,1,0,1,0,NETWORK_DELAY
378,0,1,0,1,0,0,1,NETWORK_DELAY
379,1,1,0,1,0,1,0,NETWORK_DELAY
380,0,0,1,0,1,1,0,NETWORK_DELAY
381,0,0,0,1,1,1,1,DATABASE_ISSUE
382,1,0,1,0,0,1,1,NETWORK_DELAY
383,1,0,0,0,0,0,0,MEMORY_LEAK
384,0,0,1,1,1,1,0,DATABASE_ISSUE
385,0,1,1,1,1,0,1,DATABASE_ISSUE
386,0,1,0,0,1,0,1,NETWORK_DELAY
387,0,0,1,1,1,1,0,DATABASE_ISSUE
388,0,0,1,1,1,0,1,DATABASE_ISSUE
389,1,0,1,1,1,1,0,DATABASE_ISSUE
390,0,0,0,0,0,0,1,MEMORY_LEAK
391,0,0,1,0,0,0,0,MEMORY_LEAK
392,0,0,1,0,0,1,0,MEMORY_LEAK
393,0,1,1,1,0,1,1,DATABASE_ISSUE
394,0,0,0,1,0,1,0,NETWORK_DELAY
395,0,1,1,1,0,0,1,DATABASE_ISSUE
396,1,1,0,0,1,1,1,DATABASE_ISSUE
397,1,0,1,0,1,0,0,NETWORK_DELAY
398,0,1,1,0,1,1,1,DATABASE_ISSUE
399,1,1,1,1,1,0,0,DATABASE_ISSUE
400,0,0,1,1,0,1,0,NETWORK_DELAY
401,1,0,1,0,1,0,1,DATABASE_ISSUE
402,1,0,0,1,1,0,1,DATABASE_ISSUE
403,1,0,0,0,0,0,0,MEMORY_LEAK
404,1,1,1,0,0,1,0,NETWORK_DELAY
405,1,0,1,0,1,0,1,DATABASE_ISSUE
406,1,0,0,1,1,1,1,DATABASE_ISSUE
407,1,0,1,0,0,1,0,MEMORY_LEAK
408,1,0,0,0,1,0,0,NETWORK_DELAY
409,0,1,1,1,0,0,0,NETWORK_DELAY
410,1,1,1,1,0,0,0,DATABASE_ISSUE
411,1,1,1,1,1,1,1,DATABASE_ISSUE
412,0,1,1,0,0,1,0,NETWORK_DELAY
413,1,0,0,1,0,0,1,NETWORK_DELAY
414,0,1,0,1,1,1,0,DATABASE_ISSUE
415,0,1,1,1,0,0,1,DATABASE_ISSUE
416,0,0,1,0,1,0,1,DATABASE_ISSUE
417,0,0,0,1,0,0,0,MEMORY_LEAK
418,1,1,1,0,0,1,0,NETWORK_DELAY
419,0,1,1,0,0,1,1,NETWORK_DELAY
420,1,1,0,1,0,1,0,NETWORK_DELAY
421,1,0,1,1,0,0,0,NETWORK_DELAY
422,0,0,1,0,0,1,1,NETWORK_DELAY
423,0,1,0,0,1,1,0,NETWORK_DELAY
424,1,0,1,0,0,1,1,NETWORK_DELAY
425,1,0,0,1,0,1,0,NETWORK_DELAY
426,0,1,1,0,0,0,1,NETWORK_DELAY
427,0,0,0,0,1,0,1,NETWORK_DELAY
428,1,1,1,1,1,0,0,DATABASE_ISSUE
429,1,1,0,1,0,1,1,DATABASE_ISSUE
430,0,0,0,0,1,1,0,NETWORK_DELAY
431,0,0,0,0,1,0,0,NETWORK_DELAY
432,0,1,0,1,1,0,0,DATABASE_ISSUE
433,1,0,1,0,1,1,0,NETWORK_DELAY
434,0,1,0,1,1,1,1,DATABASE_ISSUE
435,1,0,1,0,0,0,0,MEMORY_LEAK
436,1,1,1,1,0,0,0,DATABASE_ISSUE
437,1,0,0,1,0,0,0,MEMORY_LEAK
438,1,0,1,1,1,1,1,DATABASE_ISSUE
439,0,1,0,1,1,0,1,DATABASE_ISSUE
440,1,1,1,0,1,1,0,DATABASE_ISSUE
441,1,0,1,1,0,0,0,NETWORK_DELAY
442,0,0,1,1,0,1,0,NETWORK_DELAY
443,0,1,1,0,0,0,0,NETWORK_DELAY
444,0,1,0,0,1,0,0,NETWORK_DELAY
445,1,1,0,0,0,1,1,NETWORK_DELAY
446,0,1,1,1,1,0,1,DATABASE_ISSUE
447,1,1,0,1,0,1,1,DATABASE_ISSUE
448,1,0,0,1,1,0,1,DATABASE_ISSUE
449,1,1,1,1,0,1,1,DATABASE_ISSUE
450,0,0,0,0,0,1,0,MEMORY_LEAK
451,0,1,0,0,0,0,0,MEMORY_LEAK
452,1,1,0,1,0,1,0,NETWORK_DELAY
453,1,1,1,1,1,1,1,DATABASE_ISSUE
454,1,1,1,0,1,0,0,DATABASE_ISSUE
455,0,1,1,1,1,1,1,DATABASE_ISSUE
456,1,1,1,1,1,1,0,DATABASE_ISSUE
457,0,1,0,0,0,1,1,NETWORK_DELAY
458,1,1,0,1,1,1,1,DATABASE_ISSUE
459,0,1,0,0,1,1,0,NETWORK_DELAY
460,0,0,0,1,0,1,0,NETWORK_DELAY
461,1,0,1,1,0,1,0,NETWORK_DELAY
462,0,0,1,1,1,1,0,DATABASE_ISSUE
463,0,1,0,1,1,1,1,DATABASE_ISSUE
464,1,1,0,1,1,1,0,DATABASE_ISSUE
465,1,0,1,1,0,0,1,NETWORK_DELAY
466,1,1,1,0,1,0,0,DATABASE_ISSUE
467,0,0,0,1,0,0,0,MEMORY_LEAK
468,0,1,0,0,0,0,0,MEMORY_LEAK
469,1,1,1,0,1,1,0,DATABASE_ISSUE
470,1,1,0,1,0,1,0,NETWORK_DELAY
471,0,1,0,0,0,1,1,NETWORK_DELAY
472,0,0,1,0,1,0,1,DATABASE_ISSUE
473,1,0,1,0,0,0,0,MEMORY_LEAK
474,0,0,1,1,1,0,1,DATABASE_ISSUE
475,1,0,0,0,0,1,1,MEMORY_LEAK
476,1,0,0,1,0,0,0,MEMORY_LEAK
477,1,1,1,1,0,0,0,DATABASE_ISSUE
478,1,1,1,0,1,0,1,DATABASE_ISSUE
479,0,1,1,0,1,0,0,DATABASE_ISSUE
480,1,1,1,1,1,1,0,DATABASE_ISSUE
481,0,1,0,1,0,0,0,NETWORK_DELAY
482,0,1,0,1,1,1,1,DATABASE_ISSUE
483,1,0,0,1,0,0,0,MEMORY_LEAK
484,0,1,1,0,0,1,0,NETWORK_DELAY
485,1,0,0,0,0,1,1,MEMORY_LEAK
486,0,0,0,0,0,1,0,MEMORY_LEAK
487,1,0,0,0,0,0,0,MEMORY_LEAK
488,0,0,0,1,0,0,0,MEMORY_LEAK
489,1,1,1,0,1,1,1,DATABASE_ISSUE
490,0,0,1,1,1,1,1,DATABASE_ISSUE
491,0,1,1,1,0,1,1,DATABASE_ISSUE
492,1,1,1,0,0,0,0,NETWORK_DELAY
493,1,0,0,1,0,0,1,NETWORK_DELAY
494,0,1,0,1,0,0,0,NETWORK_DELAY
495,1,1,0,0,0,0,1,NETWORK_DELAY
496,0,1,1,0,1,1,0,DATABASE_ISSUE
497,1,0,1,0,1,0,1,DATABASE_ISSUE
498,1,1,0,0,0,1,1,NETWORK_DELAY
499,0,1,0,0,1,1,0,NETWORK_DELAY
500,1,1,1,1,1,1,0,DATABASE_ISSUE
501,0,0,1,0,0,0,0,MEMORY_LEAK
502,0,0,1,1,0,1,1,DATABASE_ISSUE
503,1,1,1,1,0,1,0,DATABASE_ISSUE
504,0,0,0,0,0,0,1,MEMORY_LEAK
